"LuFrac","LskyFrac","EdFrac1","EdFrac2","result.fine.1","result.fine.2","wl"
0,0,0,0,NA,NA,649.0240442
0.000562298837590852,1.53070239121954e-06,-0.00137911156199919,0.000689555780999596,-0.4066154984494,0.813230996898801,649.2025937
0.000313162338345601,0,0,-0.00207383463839948,Inf,-0.151006417072525,649.3811076
-0.000251152097459069,-6.15322638774719e-06,0.00346504635512393,0.00415805562614872,-0.0707057989885274,-0.0589214991571061,649.5595859
0.460878340203496,0.12431003579266,65.7162575722721,65.443221424414,0.00512153790925619,0.00514290551542558,649.7380286
0.487710626122258,0.129851834155418,68.5526597530417,68.3367458640557,0.00522020288134717,0.00523669641335774,649.9164356
0.494433823929433,0.13282835631118,70.2776738581784,69.9865027469903,0.00514538185125449,0.00516678864388325,650.094807
0.500873389252569,0.134043815069782,71.3779485934299,71.191744031852,0.00513925633072273,0.00515269824010299,650.2731427
0.503784743282128,0.135413289134551,71.8492653821324,71.6892572505918,0.0051270037652909,0.00513844707387503,650.4514429
0.509132646518407,0.136336774036632,72.5699293544577,72.0999432881552,0.00513705712266724,0.00517054321377004,650.6297074
0.502047038171677,0.135636694303003,72.266548505075,71.8130001395926,0.00507026212609203,0.00510228431003347,650.8079364
0.504468663495635,0.13436444379303,71.4502245496128,71.3865799781697,0.00517988882520049,0.00518450694536402,650.9861297
0.491100339627963,0.131829165413281,70.6515319756163,70.2913760536903,0.00508511513011036,0.00511117002376312,651.1642874
0.475599621220023,0.128495885776771,68.9185940624278,68.9178832830084,0.00503643088146631,0.0050364828243184,651.3424095
0.460338590264058,0.125340574393091,67.8865769525921,67.7868139625393,0.00493467237425904,0.00494193481428549,651.520496
0.457742605522159,0.125503426275228,68.0664677444566,67.9193000927111,0.0048810991705088,0.00489167554426236,651.6985469
0.483605670466231,0.131021490644582,70.4743074184885,70.1083205987274,0.00500301730853407,0.00502913458503311,651.8765623
0.502567856415427,0.136463333486809,73.0875297946917,72.7378527438025,0.00500912431925162,0.00503320498362953,652.054542
0.51307687573604,0.139111178739033,74.3100039923901,74.0285539704881,0.00503250809992292,0.0050516412511055,652.2324861
0.511998569488807,0.139024408097237,74.3703302748168,74.2260073393227,0.00501509351932871,0.00502484472439055,652.4103947
0.521065922799691,0.141648819520009,75.482279314936,75.1610873613231,0.00502657188843799,0.00504805234463552,652.5882677
0.524001749737605,0.141743064431591,75.6588895754633,75.3883917674555,0.00505239618835197,0.00507052447126258,652.766105
0.528663448726691,0.142516742216354,76.0668000220429,75.6582334932003,0.00507641581344868,0.00510382926856257,652.9439069
0.527012979674884,0.141737282709459,75.8692079178568,75.484410582686,0.00507815631056225,0.0051040432586195,653.1216731
0.522511815410922,0.140962848457015,75.6565026459309,75.366460238437,0.00504317479145896,0.00506258308731496,653.2994038
0.529005334634684,0.142589692741707,76.557386454751,76.5280906022858,0.00504739855665483,0.00504933076014097,653.4770989
0.541388412532118,0.145157872585634,77.775669112281,77.3799295681294,0.00509453077638541,0.00512058543032947,653.6547584
0.543568422675392,0.145887243425303,78.0781053317318,77.6953731292403,0.00509337640251968,0.00511846668898258,653.8323824
0.538540976443779,0.145669083683492,77.7922011019381,77.6121709686901,0.0050502735132211,0.00506198818892436,654.0099708
0.530940806735134,0.143728933606529,76.9582979487524,76.8229473175752,0.00503145058361938,0.00504031525278411,654.1875237
0.513489687202671,0.140910789062038,75.9239851500873,75.7475332623676,0.00490726214389451,0.00491869348207191,654.365041
0.517166115615628,0.141602736662274,76.0472487179614,75.9380067842403,0.00493855314011709,0.0049456575811955,654.5425228
0.522748473696026,0.141329135946752,76.2195313211096,76.1055673791185,0.00500422045554664,0.0050117140031194,654.719969
0.521042675798919,0.141768060645982,76.5783575567343,76.3969435583304,0.00495276507950624,0.00496452603320909,654.8973797
0.530050352068025,0.143655219896222,77.0773167917313,76.5932032119753,0.00501308489001857,0.00504477050140384,655.0747548
0.516028602494905,0.14092559414752,75.8276308916064,75.5801565735671,0.00494678528046834,0.00496298268424825,655.2520944
0.510256441049346,0.13834998160402,74.660757961109,74.2067880833367,0.00498128427304546,0.00501175794089972,655.4293985
0.491932875482082,0.135026270624787,72.3901358540813,72.1882507129334,0.0049303209704803,0.00494410934372941,655.606667
0.463705208312758,0.126820288135072,67.5624306807248,67.5329848044056,0.00498627590486907,0.00498845003154234,655.7839
0.44041819168485,0.119880387782545,64.0266686985225,63.6899052971769,0.00500631706159189,0.00503278820099788,655.9610975
0.414526131760437,0.11327204027101,61.3111706416033,61.0206467033681,0.00491352698597811,0.00493692066152419,656.1382595
0.397273438027002,0.108936309354642,59.7295998022074,59.4741241474701,0.00482737419348496,0.00484811054900798,656.3153859
0.462798587892651,0.125518716908065,67.7761392329206,67.6572430852902,0.00497638069683321,0.00498512584320653,656.4924768
0.513087695898633,0.141001965933089,76.0902176688511,75.6440572327117,0.00489006000199503,0.00491890233783809,656.6695323
0.527892208589572,0.145198284113537,78.4639388637085,78.1055476378936,0.00487732237277526,0.00489970221129809,656.8465522
0.535844095130724,0.146525887099499,79.2570900750961,78.8548633366373,0.00491209313466272,0.00493714897924806,657.0235366
0.548858176223089,0.149424538789757,80.6638602676766,80.3968734927202,0.00495182893687263,0.00496827326835663,657.2004854
0.549504057152912,0.15179397077862,82.1541170754421,82.0122140889235,0.00484102441280058,0.00484940067516122,657.3773988
0.56202993029169,0.154098324221007,83.42522347333,83.0897384795157,0.00488978739387007,0.00490953050924876,657.5542767
0.58427111420579,0.159269612459111,85.6350712257754,85.3321233601406,0.00496293744681044,0.00498055696977067,657.7311191
