wl;up_coef;dw_coef;wl_F;up_coef_F;dw_coef_F;Device ID
664.0738313;0.003255624;0.001038871;404.4051348;0.001865583;0.000151465;
664.2493625;0.003248229;0.001036673;405.152189;0.001833815;0.000149019;
664.4248583;0.003240821;0.001034508;405.8990614;0.001803088;0.000146624;
664.6003188;0.003233404;0.001032376;406.6457519;0.001773362;0.00014428;
664.7757439;0.003226001;0.001030273;407.3922605;0.001744603;0.000141989;
664.9511336;0.003218642;0.001028191;408.1385872;0.001716781;0.000139754;
665.1264879;0.003211357;0.001026124;408.8847319;0.001689862;0.000137576;
665.3018069;0.003204176;0.001024066;409.6306947;0.001663814;0.000135457;
665.4770905;0.003197128;0.001022009;410.3764755;0.001638605;0.0001334;
665.6523387;0.003190243;0.001019948;411.1220743;0.001614204;0.000131407;
665.8275516;0.003183538;0.001017875;411.867491;0.001590584;0.000129478;
666.0027291;0.003176977;0.00101579;412.6127258;0.001567721;0.000127616;
666.1778713;0.003170512;0.001013693;413.3577784;0.001545588;0.000125821;
666.3529782;0.003164096;0.001011583;414.1026491;0.001524161;0.000124095;
666.5280497;0.003157678;0.00100946;414.8473376;0.001503414;0.000122439;
666.7030858;0.003151212;0.001007324;415.591844;0.001483322;0.000120854;
666.8780866;0.00314465;0.001005174;416.3361683;0.001463853;0.00011934;
667.0530521;0.003137957;0.001003012;417.0803105;0.001444946;0.000117888;
667.2279823;0.003131154;0.001000846;417.8242705;0.001426534;0.000116489;
667.4028771;0.003124274;0.000998685;418.5680483;0.00140855;0.000115132;
667.5777366;0.003117353;0.00099654;419.3116439;0.001390927;0.000113806;
667.7525607;0.003110425;0.000994421;420.0550574;0.001373597;0.000112503;
667.9273496;0.003103522;0.000992337;420.7982886;0.001356505;0.000111213;
668.1021031;0.003096681;0.000990297;421.5413375;0.001339633;0.000109933;
668.2768213;0.003089927;0.000988309;422.2842042;0.001322975;0.000108662;
668.4515043;0.003083261;0.000986366;423.0268886;0.001306527;0.000107398;
668.6261519;0.003076678;0.000984461;423.7693907;0.001290281;0.000106138;
668.8007641;0.00307017;0.000982582;424.5117105;0.001274232;0.000104883;
668.9753411;0.003063731;0.000980723;425.253848;0.001258373;0.000103629;
669.1498828;0.003057355;0.000978873;425.9958031;0.001242699;0.000102376;
669.3243892;0.003051036;0.000977024;426.7375758;0.001227197;0.000101127;
669.4988603;0.003044769;0.000975169;427.4791662;0.001211857;9.98861E-05;
669.6732961;0.00303855;0.000973307;428.2205741;0.001196667;9.86567E-05;
669.8476967;0.003032379;0.000971438;428.9617996;0.001181614;9.74427E-05;
670.0220619;0.003026254;0.000969565;429.7028427;0.001166688;9.62479E-05;
670.1963919;0.003020174;0.000967688;430.4437033;0.001151876;9.5076E-05;
670.3706865;0.003014137;0.000965809;431.1843815;0.001137183;9.39307E-05;
670.544946;0.003008142;0.000963928;431.9248771;0.001122682;9.28141E-05;
670.7191701;0.003002185;0.000962048;432.6651903;0.001108461;9.17283E-05;
670.893359;0.002996256;0.000960174;433.4053209;0.001094607;9.06754E-05;
671.0675126;0.002990339;0.000958312;434.145269;0.001081209;8.96573E-05;
